data,tMin,tMed,tMax,precipitacao,Produto,Vendas
2019-11-04,18.25,23.5,28.625,12,5,3
2019-11-04,18.25,23.5,28.625,12,6,10
2019-11-04,18.25,23.5,28.625,12,7,10
2019-11-04,18.25,23.5,28.625,12,8,5
2019-11-11,17.5,20.25,23.625,5,1,126
2019-11-11,17.5,20.25,23.625,5,2,46
2019-11-11,17.5,20.25,23.625,5,3,36
2019-11-11,17.5,20.25,23.625,5,4,9
2019-11-11,17.5,20.25,23.625,5,5,9
2019-11-11,17.5,20.25,23.625,5,6,53
2019-11-11,17.5,20.25,23.625,5,7,0
2019-11-11,17.5,20.25,23.625,5,8,11
2019-11-18,14.875,18.0,21.25,0,1,92
2019-11-18,14.875,18.0,21.25,0,2,13
2019-11-18,14.875,18.0,21.25,0,3,19
2019-11-18,14.875,18.0,21.25,0,4,3
2019-11-18,14.875,18.0,21.25,0,5,1
2019-11-18,14.875,18.0,21.25,0,6,8
2019-11-18,14.875,18.0,21.25,0,7,10
2019-11-18,14.875,18.0,21.25,0,8,1
2019-11-25,15.375,19.375,23.375,0,1,137
2019-11-25,15.375,19.375,23.375,0,2,20
2019-11-25,15.375,19.375,23.375,0,3,25
2019-11-25,15.375,19.375,23.375,0,4,6
2019-11-25,15.375,19.375,23.375,0,5,8
2019-11-25,15.375,19.375,23.375,0,6,7
2019-11-25,15.375,19.375,23.375,0,7,0
2019-11-25,15.375,19.375,23.375,0,8,1
2019-12-02,14.875,19.0,23.125,1,1,103
2019-12-02,14.875,19.0,23.125,1,2,35
2019-12-02,14.875,19.0,23.125,1,3,8
2019-12-02,14.875,19.0,23.125,1,4,11
2019-12-02,14.875,19.0,23.125,1,5,4
